V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
10,220,0.3195,0.3373,0.1677,-1.4370422535211267,-1.5797078651685394,-0.9291162790697673,507,0
10,221,0.3869,0.3796,0.1807,-1.613726708074534,-1.752479674796748,-1.0783089770354906,548,0
10,222,0.3339,0.3286,0.1916,-1.2312576064908722,-1.567312859884837,-0.9771458333333334,569,0
10,223,0.3118,0.3338,0.2129,-1.3796172248803829,-1.7318238993710693,-1.244446227929374,728,0
10,224,0.3481,0.3694,0.1954,-1.5031726907630523,-1.7043359375,-1.0123373983739836,563,0
10,225,0.4155,0.4233,0.2369,-1.6897619047619046,-1.8977987421383649,-1.1445714285714286,515,0
10,226,0.3266,0.3522,0.2226,-1.3169072164948454,-1.6231663326653307,-1.124680412371134,548,0
10,227,0.3926,0.4167,0.2324,-1.6222887323943662,-1.828344827586207,-1.1915053763440862,624,0
10,228,0.4642,0.3387,0.1362,-1.9753195876288658,-1.6610999999999998,-0.5794154488517745,558,0
10,229,0.375,0.4142,0.2313,-1.6669344608879493,-1.8578028747433264,-1.150854700854701,536,0
10,230,0.3043,0.3524,0.2288,-1.1925260416666668,-1.681059431524548,-1.2742091152815012,437,0
10,231,0.3663,0.4103,0.2766,-1.2699183673469387,-1.817980198019802,-1.3443803418803417,546,0
10,232,0.3472,0.4226,0.2925,-1.42863539445629,-1.948701030927835,-1.3694736842105264,530,0
10,233,0.4018,0.427,0.2288,-1.7533062880324544,-1.8894234592445327,-1.1201028806584363,555,0
10,234,0.3566,0.3906,0.2453,-1.5134640522875815,-1.8325536480686695,-1.2485144124168515,530,0
10,235,0.3824,0.4647,0.2882,-1.4263304721030041,-1.9769957983193276,-1.303256880733945,510,0
10,236,0.4261,0.3911,0.2043,-1.6880786026200874,-1.7289721627408992,-0.9539051918735891,514,0
10,237,0.4635,0.3467,0.1533,-1.8292261904761904,-1.7034833659491193,-0.8536290322580645,548,0
10,238,0.3928,0.3519,0.1817,-1.5152747252747254,-1.6581541218637992,-1.0751762523191095,611,0
10,239,0.3752,0.4836,0.3269,-1.6020556745182013,-2.117637130801688,-1.5369162995594714,517,0
10,240,0.3901,0.4805,0.3174,-1.577085020242915,-2.058893280632411,-1.5174066390041494,564,0
11,241,0.2222,0.0944,0.0444,-1.1356129032258064,-0.3695031055900621,0.3349019607843137,180,0
11,242,0.259,0.1566,0.1566,-0.5405660377358491,-0.8368589743589744,-0.42448979591836733,166,0
11,243,0.2707,0.0902,0.0602,-1.0164754098360655,-0.5753543307086614,0.3433913043478261,133,0
