ADM1_NAME,ADM2_NAME,mean
Tamil Nadu,Salem,0.5400774065607877
Tamil Nadu,Thanjavur,0.5243173834444146
Tamil Nadu,Sivaganga,0.45015402048733383
Tamil Nadu,Tiruchchirappalli,0.48101997694338444
Tamil Nadu,Tirunelveli Kattabo,0.49578903587692336
Tamil Nadu,Ariyalur,0.4972646957283831
Tamil Nadu,Chennai,0.3547958551341676
Tamil Nadu,Cuddalore,0.5123921586027783
Tamil Nadu,Kancheepuram,0.4928331845492261
Tamil Nadu,Karur,0.4257216272968395
Tamil Nadu,Madurai,0.5112084339984284
Tamil Nadu,Nagapattinam,0.4925345044052478
Tamil Nadu,Namakkal,0.515014156667168
Tamil Nadu,Perambalur,0.47293911035460945
Tamil Nadu,Theni,0.5796943742743008
Tamil Nadu,Thiruvallur,0.49589167206605694
Tamil Nadu,Tiruvannamalai,0.5419615490486616
Tamil Nadu,Vellore,0.5545728824550319
Tamil Nadu,Villupuram,0.5254982203953265
West Bengal,East Midnapore,0.4988726939923762
Chhattisgarh,Durg,0.4639197475617984
Chhattisgarh,Bastar,0.5383504269645596
Chhattisgarh,Dantewada,0.5966173195581845
Chhattisgarh,Dhamtari,0.5285591456063656
Chhattisgarh,Janjgir-Champa,0.42932840785703846
Chhattisgarh,Kanker,0.5340978710030774
Chhattisgarh,Mahasamund,0.47722133059123545
Chhattisgarh,Raipur,0.48351977276180474
Chhattisgarh,Raj Nandgaon,0.49651604002159466
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.46695502708104913
Daman and Diu,Daman,0.390948709167368
Daman and Diu,Junagadh,0.4725041439121686
Madhya Pradesh,Burhanpur,0.4540176729025057
Puducherry,Karaikal,0.5000205743520091
Puducherry,Mahe,0.604309765458183
Puducherry,Puducherry,0.5348407896836447
Puducherry,Yanam,0.46273031018039257
